ClientName,Latitude,Longitude
Monica Robinson,11.0263146,76.9623249
Deanna Cook,11.0040118,77.0475896
Tyler Banks,11.0524493,77.0360848
David Brown,10.9944138,76.9674011
Clinton Smith,10.9922093,76.9568056
Amy Smith,11.0615641,76.9509102
Becky Alvarez,11.0333326,77.0063847
Michael Jordan,10.9556406,76.9664486
David Meyer,10.9723895,76.8597987
Angela Lee,11.0430421,76.939653
Richard Valdez,11.0253574,77.000779
Ruth Harris,10.9949031,76.9921471
Dylan Chang,11.0258216,77.0007623
Veronica Marsh,10.9983977,76.9971077
Jennifer Tran,10.9546122,76.9921192
Keith Marsh,11.0363105,76.9276805
Jay Freeman,11.0116817,77.0043837
Bernard Smith,10.9578113,76.9773377
Tyler Stokes,11.0415217,76.976775
Paula Webster,11.0396444,76.9292733
Tammy Hardy,11.053942,77.0312894
Dominic Sharp,10.9532118,76.9729881
William White,10.9989594,76.9993097
Kimberly Washington DDS,11.0396817,76.9989154
Valerie Scott,11.0282908,76.9537403
Austin Jackson,11.0095122,77.0026047
Zachary James,10.9925095,76.9328885
Jay Buck,11.0047464,76.990237
Brenda Espinoza,10.9970049,76.9969167
Amy Hawkins,11.0249335,76.9857843
Raymond Reed,10.9459643,76.9318673
Richard Davis,10.9647681,76.9873981
Frederick Leon,10.9133787,76.9540715
Jonathan Ryan,11.0109847,77.0083269
Todd Ryan,10.9949508,76.9704031
Rachel Reyes,11.0427135,76.9931955
Lori Mack,11.0066342,77.048007
Shari Robinson,11.0326944,77.0380498
Danny Robinson DVM,11.0345693,76.9692366
Kimberly Hamilton,10.991444,76.9337691
Jason Sharp,10.9975201,76.9925687
Amy Atkinson,10.9547394,76.9676496
Lucas Cook,11.028728,77.037167
Amanda Cole,11.0257503,76.9423884
Sarah Marks,10.9904891,76.9987016
Jason Webster,11.0274208,76.9046193
Veronica Morgan,10.9547074,76.9920844
Kirk Gonzalez,10.9945889,76.9287886
Lisa Cohen,11.0277608,77.0352212
Scott Williams,10.9456448,76.9738194
Lauren Jones,11.0104694,77.0317662
Amanda Perez,10.9941331,76.9986498
Carl Robinson,11.0795642,77.0042954
Beth Garcia,11.0487321,76.9685021
Angela Cummings,11.0743815,77.0094014
Katie Mathis,11.0085196,77.0078596
Breanna Huber,11.0581205,76.9964175
Christopher Rose,10.9620731,76.9485918
Maria Figueroa,10.9654585,76.9857145
Joshua Cox,11.0171532,76.9663673
Troy Hill,11.0831505,76.9832656
Jillian Lewis,11.0477186,76.9738097
Sabrina Barber,11.0278357,76.9677266
Shelby Harvey,11.0488101,77.0033128
Alyssa Rivera,10.9905666,76.9651571
Edward Woods,11.0453112,76.939509
Theresa Marshall,11.0768342,77.0256239
Matthew Gomez,10.9922649,76.9515633
George Long,10.9910377,76.9938229
Erica Harris,11.0070069,77.0294059
Lynn Ballard,10.9647378,76.9879542
Tara Rubio,10.9463485,76.9841099
Emily Patterson,11.0294099,76.9734144
Mitchell Wells,11.0209745,76.9893925
Gerald Flores,10.9902778,76.9550417
Christine Sweeney,11.0364254,76.9778259
Whitney Smith,10.9512638,76.9725273
Brian Ross,11.0343638,76.9062903
Christopher Black,11.0625295,76.9908419
Donald Fisher,11.0472325,76.988371
Clinton Nichols,10.9935476,76.990625
Rhonda Mosley,10.982078,76.9645138
Lisa Lucero,10.9668174,76.9723568
Jessica Booth,11.0502414,76.9996926
Katelyn Chavez,11.0324136,76.9441553
Jamie Mahoney,10.9833567,76.9420226
Jason Morgan,10.9933433,76.9583594
Lance Green,11.0265524,77.0004663
Daniel Walsh,10.9711996,76.9111857
Robert Thomas,10.9943117,76.9575161
Eddie Sosa,10.9953454,77.0008142
Jason Golden,10.9960041,77.0272426
Richard Fox,11.0649322,77.0372783
Erica Rowe,10.9552693,76.9806924
Joseph Reynolds,11.1149141,76.9932946
Scott Schwartz,11.0232325,76.9342206
Edward Martinez MD,11.0548461,77.0250198
James Simpson,11.0233222,76.9620889
Francisco Villanueva,11.0993596,76.9961524
Stacey Conrad,11.031514,76.9306217
Andrew Rice,11.0174592,76.9798693
