ClientName,Latitude,Longitude,ClusterNumber,centroids,UniqueClusterID
Monica Robinson,11.0263146,76.9623249,4,[11.03458701 76.96008318],C_4
Deanna Cook,11.0040118,77.0475896,7,[11.0320363  77.05078642],C_7
Tyler Banks,11.0524493,77.0360848,7,[11.0320363  77.05078642],C_7
David Brown,10.9944138,76.9674011,1,[10.99032947 76.94906085],C_1
Clinton Smith,10.9922093,76.9568056,1,[10.99032947 76.94906085],C_1
Amy Smith,11.0615641,76.9509102,4,[11.03458701 76.96008318],C_4
Becky Alvarez,11.0333326,77.0063847,2,[11.00793952 77.00711148],C_2
Michael Jordan,10.9556406,76.9664486,6,[10.95437625 76.97053033],C_6
David Meyer,10.9723895,76.8597987,3,[11.02518256 76.91014288],C_3
Angela Lee,11.0430421,76.939653,4,[11.03458701 76.96008318],C_4
Richard Valdez,11.0253574,77.000779,2,[11.00793952 77.00711148],C_2
Ruth Harris,10.9949031,76.9921471,2,[11.00793952 77.00711148],C_2
Dylan Chang,11.0258216,77.0007623,2,[11.00793952 77.00711148],C_2
Veronica Marsh,10.9983977,76.9971077,2,[11.00793952 77.00711148],C_2
Jennifer Tran,10.9546122,76.9921192,6,[10.95437625 76.97053033],C_6
Keith Marsh,11.0363105,76.9276805,3,[11.02518256 76.91014288],C_3
Jay Freeman,11.0116817,77.0043837,2,[11.00793952 77.00711148],C_2
Bernard Smith,10.9578113,76.9773377,6,[10.95437625 76.97053033],C_6
Tyler Stokes,11.0415217,76.976775,4,[11.03458701 76.96008318],C_4
Paula Webster,11.0396444,76.9292733,3,[11.02518256 76.91014288],C_3
Tammy Hardy,11.053942,77.0312894,5,[11.06430224 77.0049296 ],C_5
Dominic Sharp,10.9532118,76.9729881,6,[10.95437625 76.97053033],C_6
William White,10.9989594,76.9993097,2,[11.00793952 77.00711148],C_2
Kimberly Washington DDS,11.0396817,76.9989154,5,[11.06430224 77.0049296 ],C_5
